experiment,game,method,seed,budget,best_welfare,payoff_dominant_found
restart_selection,stag_hunt,standard_pg,25,7,7.802763570993747,1
restart_selection,stag_hunt,standard_pg,25,8,7.802763570993747,1
restart_selection,stag_hunt,standard_pg,25,9,7.802763570993747,1
restart_selection,stag_hunt,standard_pg,25,10,7.802763570993747,1
restart_selection,stag_hunt,standard_pg,25,11,7.802763570993747,1
restart_selection,stag_hunt,standard_pg,25,12,7.802763570993747,1
restart_selection,stag_hunt,standard_pg,26,1,7.755413013987932,1
restart_selection,stag_hunt,standard_pg,26,2,7.755413013987932,1
restart_selection,stag_hunt,standard_pg,26,3,7.755413013987932,1
restart_selection,stag_hunt,standard_pg,26,4,7.755413013987932,1
restart_selection,stag_hunt,standard_pg,26,5,7.755413013987932,1
restart_selection,stag_hunt,standard_pg,26,6,7.755413013987932,1
restart_selection,stag_hunt,standard_pg,26,7,7.755413013987932,1
restart_selection,stag_hunt,standard_pg,26,8,7.755413013987932,1
restart_selection,stag_hunt,standard_pg,26,9,7.755413013987932,1
restart_selection,stag_hunt,standard_pg,26,10,7.755413013987932,1
restart_selection,stag_hunt,standard_pg,26,11,7.755413013987932,1
restart_selection,stag_hunt,standard_pg,26,12,7.755413013987932,1
restart_selection,stag_hunt,standard_pg,27,1,3.977956365439374,0
restart_selection,stag_hunt,standard_pg,27,2,3.977956365439374,0
restart_selection,stag_hunt,standard_pg,27,3,3.977956365439374,0
restart_selection,stag_hunt,standard_pg,27,4,3.977956365439374,0
restart_selection,stag_hunt,standard_pg,27,5,7.623368773261913,1
restart_selection,stag_hunt,standard_pg,27,6,7.623368773261913,1
restart_selection,stag_hunt,standard_pg,27,7,7.623368773261913,1
restart_selection,stag_hunt,standard_pg,27,8,7.623368773261913,1
restart_selection,stag_hunt,standard_pg,27,9,7.654355865136864,1
restart_selection,stag_hunt,standard_pg,27,10,7.654355865136864,1
restart_selection,stag_hunt,standard_pg,27,11,7.654355865136864,1
restart_selection,stag_hunt,standard_pg,27,12,7.657421878132166,1
restart_selection,stag_hunt,standard_pg,28,1,3.970796962466382,0
restart_selection,stag_hunt,standard_pg,28,2,3.9792058318365005,0
restart_selection,stag_hunt,standard_pg,28,3,3.9792058318365005,0
restart_selection,stag_hunt,standard_pg,28,4,3.9792058318365005,0
restart_selection,stag_hunt,standard_pg,28,5,3.9792058318365005,0
restart_selection,stag_hunt,standard_pg,28,6,3.9792058318365005,0
restart_selection,stag_hunt,standard_pg,28,7,3.9792058318365005,0
restart_selection,stag_hunt,standard_pg,28,8,7.704856148562783,1
restart_selection,stag_hunt,standard_pg,28,9,7.704856148562783,1
restart_selection,stag_hunt,standard_pg,28,10,7.704856148562783,1
restart_selection,stag_hunt,standard_pg,28,11,7.704856148562783,1
restart_selection,stag_hunt,standard_pg,28,12,7.704856148562783,1
restart_selection,stag_hunt,standard_pg,29,1,3.9684408723212266,0
restart_selection,stag_hunt,standard_pg,29,2,7.48624936869843,1
restart_selection,stag_hunt,standard_pg,29,3,7.48624936869843,1
restart_selection,stag_hunt,standard_pg,29,4,7.773380216552807,1
restart_selection,stag_hunt,standard_pg,29,5,7.773380216552807,1
restart_selection,stag_hunt,standard_pg,29,6,7.773380216552807,1
restart_selection,stag_hunt,standard_pg,29,7,7.773380216552807,1
restart_selection,stag_hunt,standard_pg,29,8,7.773380216552807,1
restart_selection,stag_hunt,standard_pg,29,9,7.773380216552807,1
restart_selection,stag_hunt,standard_pg,29,10,7.773380216552807,1
restart_selection,stag_hunt,standard_pg,29,11,7.773380216552807,1
restart_selection,stag_hunt,standard_pg,29,12,7.773380216552807,1
restart_selection,stag_hunt,standard_pg,30,1,3.954614693665035,0
restart_selection,stag_hunt,standard_pg,30,2,3.971714982667193,0
restart_selection,stag_hunt,standard_pg,30,3,3.9770308454024463,0
restart_selection,stag_hunt,standard_pg,30,4,3.9770308454024463,0
restart_selection,stag_hunt,standard_pg,30,5,3.9775597631245194,0
restart_selection,stag_hunt,standard_pg,30,6,3.9775597631245194,0
restart_selection,stag_hunt,standard_pg,30,7,3.9775597631245194,0
restart_selection,stag_hunt,standard_pg,30,8,3.9775597631245194,0
restart_selection,stag_hunt,standard_pg,30,9,3.9775597631245194,0
restart_selection,stag_hunt,standard_pg,30,10,3.9775597631245194,0
restart_selection,stag_hunt,standard_pg,30,11,3.9777763843423806,0
restart_selection,stag_hunt,standard_pg,30,12,3.9777763843423806,0
restart_selection,stag_hunt,standard_pg,31,1,3.9742776923876884,0
restart_selection,stag_hunt,standard_pg,31,2,7.395528645126735,1
restart_selection,stag_hunt,standard_pg,31,3,7.395528645126735,1
restart_selection,stag_hunt,standard_pg,31,4,7.395528645126735,1
restart_selection,stag_hunt,standard_pg,31,5,7.395528645126735,1
restart_selection,stag_hunt,standard_pg,31,6,7.395528645126735,1
restart_selection,stag_hunt,standard_pg,31,7,7.395528645126735,1
restart_selection,stag_hunt,standard_pg,31,8,7.395528645126735,1
restart_selection,stag_hunt,standard_pg,31,9,7.395528645126735,1
restart_selection,stag_hunt,standard_pg,31,10,7.706606414385341,1
restart_selection,stag_hunt,standard_pg,31,11,7.706606414385341,1
restart_selection,stag_hunt,standard_pg,31,12,7.706606414385341,1
restart_selection,stag_hunt,standard_pg,32,1,3.9693629635871988,0
restart_selection,stag_hunt,standard_pg,32,2,7.6559904423107845,1
restart_selection,stag_hunt,standard_pg,32,3,7.756880674793563,1
restart_selection,stag_hunt,standard_pg,32,4,7.756880674793563,1
restart_selection,stag_hunt,standard_pg,32,5,7.77362205338171,1
restart_selection,stag_hunt,standard_pg,32,6,7.77362205338171,1
