persona_id,env_name,noise_pair,seed,method,method_p1,method_p2,final_reward_p1,final_reward_p2,mean_reward_p1,mean_reward_p2,final_distance_to_nash,avg_noise_norm_p1,avg_noise_norm_p2,weight_p1,weight_p2
ipd:defective:0,ipd,"0.5,0.2",0,lola,lola,standard,68.50905476303649,15.978868865599646,72.42154907935084,19.485774809429536,,1.4715836574196346,0.6745313209895147,1.0,1.0
ipd:defective:0,ipd,"0.5,0.2",0,ew_lola,ew_lola,standard,59.058869332552526,29.856712214027322,60.83480590975679,39.93965566455786,,1.5621935740918835,0.6224275844260837,0.16000000000000003,1.0
ipd:defective:0,ipd,"0.5,0.2",1,standard,standard,standard,59.4465036758276,19.49142731942247,69.9562696685311,20.980238694890527,,1.5492176967699085,0.6693796476727245,1.0,1.0
ipd:defective:0,ipd,"0.5,0.2",1,ew,ew,standard,52.02324822145276,31.72061756596571,59.29860762967875,40.30447074689974,,1.3978711358605709,0.6255985510306943,0.16000000000000003,1.0
ipd:defective:0,ipd,"0.5,0.2",1,lola,lola,standard,56.11433071435201,19.280290802141835,69.52934944002759,20.166980158688443,,1.4375934798220005,0.6873842224711829,1.0,1.0
ipd:defective:0,ipd,"0.5,0.2",1,ew_lola,ew_lola,standard,39.455484056728295,35.83889238021119,56.955564158162744,41.00038012052357,,1.6478877006949084,0.6668142535783,0.16000000000000003,1.0
ipd:defective:1,ipd,"0.2,0.2",0,standard,standard,standard,26.515645932599682,27.61936222704565,36.23823539042384,32.409022343589825,,0.6127236624020215,0.6800303023241207,1.0,1.0
ipd:defective:1,ipd,"0.2,0.2",0,ew,ew,standard,26.201949176211507,28.293595724860072,36.06920659535131,31.83756561117706,,0.5943291228940838,0.622007463481049,1.0,1.0
ipd:defective:1,ipd,"0.2,0.2",0,lola,lola,standard,26.796156932740363,28.558228309925155,38.514192126099104,30.255299408039555,,0.5886334629678539,0.6745313209895147,1.0,1.0
ipd:defective:1,ipd,"0.2,0.2",0,ew_lola,ew_lola,standard,26.988342492721923,29.159657000595082,38.650319758572266,30.072669793545792,,0.6248774296367534,0.6224275844260837,1.0,1.0
