persona_id,env_name,noise_pair,seed,step,method,method_p1,method_p2,reward_p1,reward_p2,lambda_step,distance_to_nash,avg_grad_norm_p1,avg_grad_norm_p2,avg_noise_norm_p1,avg_noise_norm_p2
ipd:cooperative:0,ipd,"0.2,0.2",1,0,lola,lola,standard,35.61999508757327,47.5376304326302,0.14953487812212204,,5.358861021104587,5.469871472483528,0.6655284601332667,0.5408693152016365
ipd:cooperative:0,ipd,"0.2,0.2",1,1,lola,lola,standard,34.90671441826949,37.67301216773948,0.13042371500610728,,4.798945536845128,3.438729071197004,0.6822953635474724,0.5731425993777826
ipd:cooperative:0,ipd,"0.2,0.2",1,2,lola,lola,standard,38.192714838632554,33.83209229070342,0.11618404012127041,,4.052638058754619,2.60720942958913,0.7158916464511508,0.5613571238442713
ipd:cooperative:0,ipd,"0.2,0.2",1,3,lola,lola,standard,41.73230475089732,32.53688609293387,0.10511205190671433,,3.558981039924725,2.425489018169337,0.6630241171545623,0.6158564698075257
ipd:cooperative:0,ipd,"0.2,0.2",1,4,lola,lola,standard,47.92697554011955,31.265581256298567,0.09622504486493763,,3.3329579041835276,2.3800782242482272,0.6281805582011548,0.6912790592243635
ipd:cooperative:0,ipd,"0.2,0.2",1,5,lola,lola,standard,54.141097659132924,27.722667786796332,0.08891397050194613,,3.3454341844652995,2.2345912343113166,0.6207405219091991,0.6902120201809351
ipd:cooperative:0,ipd,"0.2,0.2",1,6,lola,lola,standard,53.898116701966934,24.33854255192487,0.08278001303808509,,3.4096565524992912,1.9635005371543535,0.5919367941143358,0.6800544139943344
ipd:cooperative:0,ipd,"0.2,0.2",1,7,lola,lola,standard,47.95014780859157,24.00826333094464,0.07755040492517497,,3.3052835672067844,1.9457254909908173,0.5710068578494879,0.6689285397009735
ipd:cooperative:0,ipd,"0.2,0.2",1,8,lola,lola,standard,42.059136325433194,24.419552907315104,0.07303188161984392,,3.098891739043499,1.9973187751769277,0.5596124965870628,0.6775777222377608
ipd:cooperative:0,ipd,"0.2,0.2",1,9,lola,lola,standard,37.09027965876022,24.842193964063803,0.0690834435809882,,2.8726575497784257,2.0332470290606612,0.5750373919288002,0.6873842224711829
ipd:cooperative:0,ipd,"0.2,0.2",1,0,ew_lola,ew_lola,standard,35.551044189500956,47.87593012143675,0.14953487812212204,,5.358861021104587,5.469871472483528,0.7209578962332867,0.6853170701785734
ipd:cooperative:0,ipd,"0.2,0.2",1,1,ew_lola,ew_lola,standard,34.81519538883847,37.08066324341225,0.13042371500610728,,4.759700304778468,3.6149453077512117,0.6791684509585287,0.6845478939858283
ipd:cooperative:0,ipd,"0.2,0.2",1,2,ew_lola,ew_lola,standard,36.56003857822276,33.92571121933748,0.11618404012127041,,3.9696992664718835,2.5667069690884667,0.6504947850818175,0.5850952492132292
ipd:cooperative:0,ipd,"0.2,0.2",1,3,ew_lola,ew_lola,standard,39.352977668480385,32.556134651651796,0.10511205190671433,,3.442644390846312,2.298822129053937,0.6413317246512267,0.6177776490413305
ipd:cooperative:0,ipd,"0.2,0.2",1,4,ew_lola,ew_lola,standard,43.75464880056894,31.78355188685322,0.09622504486493763,,3.143563423133692,2.1822999805041023,0.6611873319055845,0.6367183244266416
ipd:cooperative:0,ipd,"0.2,0.2",1,5,ew_lola,ew_lola,standard,48.36969549463797,30.651235185238264,0.08891397050194613,,3.0272996530382428,2.127331621127398,0.6957847378264906,0.6406484393647262
ipd:cooperative:0,ipd,"0.2,0.2",1,6,ew_lola,ew_lola,standard,53.63242348454395,27.968979004322982,0.08278001303808509,,3.039520279951099,1.9940740786498257,0.664580019244446,0.6786329087955675
ipd:cooperative:0,ipd,"0.2,0.2",1,7,ew_lola,ew_lola,standard,53.90907435821975,24.533902835655663,0.07755040492517497,,3.0956354695050674,1.7774233334863192,0.6724718932472282,0.6668452182467435
ipd:cooperative:0,ipd,"0.2,0.2",1,8,ew_lola,ew_lola,standard,48.84026851898494,23.933741695251456,0.07303188161984392,,3.0185803507263,1.7888855734496072,0.667763280714924,0.6724190889559291
ipd:cooperative:0,ipd,"0.2,0.2",1,9,ew_lola,ew_lola,standard,41.67210641223002,24.512034837266533,0.0690834435809882,,2.8571706367865177,1.8715605706146345,0.6591550802779634,0.6668142535783
