game,noise_pair,noise_ratio,seed,method,method_p1,method_p2,final_reward_p1,final_reward_p2,mean_reward_p1,mean_reward_p2,final_distance_to_nash,avg_noise_norm_p1,avg_noise_norm_p2,weight_p1,weight_p2
matching_pennies,"16,1",256.0,3,standard,standard,standard,-0.9286649259061557,0.9286649259061557,-0.7679184836770713,0.7679184836770713,1.363772047744893,19.094733463059708,1.0994145862522742,1.0,1.0
matching_pennies,"16,1",256.0,3,ew,ew,ew,-0.1862763120002382,0.1862763120002382,-0.11217207550286538,0.11217207550286538,0.8172613227152781,18.518086830099918,1.0844604203488912,0.00390625,1.0
matching_pennies,"16,1",256.0,3,lola,lola,lola,0.8592798561052473,-0.8592798561052473,-0.20392172975234177,0.20392172975234177,1.3146959432810426,19.64987581859019,1.2037724292018632,1.0,1.0
matching_pennies,"16,1",256.0,3,ew_lola,ew_lola,ew_lola,0.030489038082583964,-0.030489038082583964,0.04983736021309247,-0.04983736021309247,0.25420246604923774,18.957061830199347,1.1971728244331163,0.00390625,1.0
matching_pennies,"16,1",256.0,4,standard,standard,standard,-0.9264426016173007,0.9264426016173007,-0.7068620118226477,0.7068620118226477,1.3622006271702478,21.308099185088913,1.1947477387316765,1.0,1.0
matching_pennies,"16,1",256.0,4,ew,ew,ew,-0.05117472192248998,0.05117472192248998,-0.01864240797769601,0.01864240797769601,0.48890877999887083,18.594845157180004,1.3477063177496083,0.00390625,1.0
matching_pennies,"16,1",256.0,4,lola,lola,lola,-0.7564607957236095,0.7564607957236095,-0.3615615062780287,0.3615615062780287,1.2420053395444834,19.114183194733542,1.2063207250069221,1.0,1.0
matching_pennies,"16,1",256.0,4,ew_lola,ew_lola,ew_lola,0.016183039689977807,-0.016183039689977807,0.01318375374618121,-0.01318375374618121,0.18722819501233143,20.829350450328977,1.1926660640523892,0.00390625,1.0
matching_pennies,"16,1",256.0,5,standard,standard,standard,0.9926033372828115,-0.9926033372828115,-0.3250466406056689,0.3250466406056689,1.4089833106576015,21.685002339213067,1.4296462200974682,1.0,1.0
matching_pennies,"16,1",256.0,5,ew,ew,ew,-0.0013405143451722945,0.0013405143451722945,0.0007044017546724308,-0.0007044017546724308,0.08433939394400294,15.213540872499753,1.2695690913916393,0.00390625,1.0
matching_pennies,"16,1",256.0,5,lola,lola,lola,-0.8910498279102161,0.8910498279102161,-0.14813411360521106,0.14813411360521106,1.3371741568769675,19.541366717743774,1.1506731163645196,1.0,1.0
matching_pennies,"16,1",256.0,5,ew_lola,ew_lola,ew_lola,0.08102302913117473,-0.08102302913117473,0.037257067493345716,-0.037257067493345716,0.676060372704184,21.172720668341665,1.1267444592943285,0.00390625,1.0
matching_pennies,"16,1",256.0,6,standard,standard,standard,-0.8381527225563175,0.8381527225563175,0.2411406221563222,-0.2411406221563222,1.2968830333214216,20.661062058247985,1.2659270792001316,1.0,1.0
matching_pennies,"16,1",256.0,6,ew,ew,ew,0.019140416370490992,-0.019140416370490992,0.000706141703350156,-0.000706141703350156,0.24338363170206698,19.357443632481317,1.35236395680517,0.00390625,1.0
matching_pennies,"16,1",256.0,6,lola,lola,lola,-0.9668645720822929,0.9668645720822929,-0.39324327256231223,0.39324327256231223,1.3907832765949664,19.075094700913763,1.318073592719161,1.0,1.0
matching_pennies,"16,1",256.0,6,ew_lola,ew_lola,ew_lola,0.0025800125486183656,-0.0025800125486183656,-0.000373070413675702,0.000373070413675702,0.32639391624191605,17.92597514703848,1.2404574953297212,0.00390625,1.0
matching_pennies,"16,1",256.0,7,standard,standard,standard,-0.8770450653464112,0.8770450653464112,-0.5858531320562375,0.5858531320562375,1.3272712942991935,18.185936853045106,1.2801270620149618,1.0,1.0
matching_pennies,"16,1",256.0,7,ew,ew,ew,0.062306110387005065,-0.062306110387005065,0.005234989093774378,-0.005234989093774378,0.641857342122391,21.991227017075737,1.437495470516179,0.00390625,1.0
matching_pennies,"16,1",256.0,7,lola,lola,lola,-0.9750769840151525,0.9750769840151525,-0.8031544518936331,0.8031544518936331,1.3965903287625887,20.486268581873027,1.1530874897854613,1.0,1.0
matching_pennies,"16,1",256.0,7,ew_lola,ew_lola,ew_lola,0.011869892110360325,-0.011869892110360325,-0.0056642166700224235,0.0056642166700224235,0.3503413701348196,22.08134221340307,1.1853669737028818,0.00390625,1.0
rock_paper_scissors,"1,1",1.0,0,standard,standard,standard,0.10864319408660354,-0.10864319408660354,0.01795846871737989,-0.01795846871737989,0.591868970499863,1.6162116625696235,1.5599020221391473,1.0,1.0
rock_paper_scissors,"1,1",1.0,0,ew,ew,ew,-0.29645606158498206,0.29645606158498206,-0.13320613735060488,0.13320613735060488,0.854534859938517,1.4428814141502677,1.6328226834528263,1.0,1.0
rock_paper_scissors,"1,1",1.0,0,lola,lola,lola,-0.7506366648278084,0.7506366648278084,-0.14617242899051908,0.14617242899051908,1.4132652113426316,1.6567242546550607,1.5848394485502573,1.0,1.0
